datetime_beginning_utc,datetime_beginning_ept,area,solar_generation_mw
2/1/2024 5:00:00 AM,2/1/2024 12:00:00 AM,MIDATL,-1.926
2/1/2024 5:00:00 AM,2/1/2024 12:00:00 AM,OTHER,0.000
2/1/2024 5:00:00 AM,2/1/2024 12:00:00 AM,SOUTH,-5.394
2/1/2024 5:00:00 AM,2/1/2024 12:00:00 AM,WEST,-1.833
2/1/2024 5:00:00 AM,2/1/2024 12:00:00 AM,RTO,-9.153
2/1/2024 5:00:00 AM,2/1/2024 12:00:00 AM,RFC,-3.759
2/1/2024 6:00:00 AM,2/1/2024 1:00:00 AM,MIDATL,-1.904
2/1/2024 6:00:00 AM,2/1/2024 1:00:00 AM,OTHER,0.000
2/1/2024 6:00:00 AM,2/1/2024 1:00:00 AM,SOUTH,-5.316
2/1/2024 6:00:00 AM,2/1/2024 1:00:00 AM,WEST,-1.816
2/1/2024 6:00:00 AM,2/1/2024 1:00:00 AM,RTO,-9.036
2/1/2024 6:00:00 AM,2/1/2024 1:00:00 AM,RFC,-3.720
2/1/2024 7:00:00 AM,2/1/2024 2:00:00 AM,MIDATL,-1.899
2/1/2024 7:00:00 AM,2/1/2024 2:00:00 AM,OTHER,0.000
2/1/2024 7:00:00 AM,2/1/2024 2:00:00 AM,SOUTH,-5.240
2/1/2024 7:00:00 AM,2/1/2024 2:00:00 AM,WEST,-3.805
2/1/2024 7:00:00 AM,2/1/2024 2:00:00 AM,RTO,-10.944
2/1/2024 7:00:00 AM,2/1/2024 2:00:00 AM,RFC,-5.704
2/1/2024 8:00:00 AM,2/1/2024 3:00:00 AM,MIDATL,-1.914
2/1/2024 8:00:00 AM,2/1/2024 3:00:00 AM,OTHER,0.000
2/1/2024 8:00:00 AM,2/1/2024 3:00:00 AM,SOUTH,-5.447
2/1/2024 8:00:00 AM,2/1/2024 3:00:00 AM,WEST,-1.816
2/1/2024 8:00:00 AM,2/1/2024 3:00:00 AM,RTO,-9.177
2/1/2024 8:00:00 AM,2/1/2024 3:00:00 AM,RFC,-3.730
2/1/2024 9:00:00 AM,2/1/2024 4:00:00 AM,MIDATL,-1.877
2/1/2024 9:00:00 AM,2/1/2024 4:00:00 AM,OTHER,0.000
2/1/2024 9:00:00 AM,2/1/2024 4:00:00 AM,SOUTH,-5.450
2/1/2024 9:00:00 AM,2/1/2024 4:00:00 AM,WEST,-1.815
2/1/2024 9:00:00 AM,2/1/2024 4:00:00 AM,RTO,-9.142
2/1/2024 9:00:00 AM,2/1/2024 4:00:00 AM,RFC,-3.692
2/1/2024 10:00:00 AM,2/1/2024 5:00:00 AM,MIDATL,-1.927
2/1/2024 10:00:00 AM,2/1/2024 5:00:00 AM,OTHER,0.000
2/1/2024 10:00:00 AM,2/1/2024 5:00:00 AM,SOUTH,-5.518
2/1/2024 10:00:00 AM,2/1/2024 5:00:00 AM,WEST,-1.786
2/1/2024 10:00:00 AM,2/1/2024 5:00:00 AM,RTO,-9.231
2/1/2024 10:00:00 AM,2/1/2024 5:00:00 AM,RFC,-3.713
2/1/2024 11:00:00 AM,2/1/2024 6:00:00 AM,MIDATL,0.167
2/1/2024 11:00:00 AM,2/1/2024 6:00:00 AM,OTHER,0.000
2/1/2024 11:00:00 AM,2/1/2024 6:00:00 AM,SOUTH,9.970
2/1/2024 11:00:00 AM,2/1/2024 6:00:00 AM,WEST,-2.787
2/1/2024 11:00:00 AM,2/1/2024 6:00:00 AM,RTO,7.350
2/1/2024 11:00:00 AM,2/1/2024 6:00:00 AM,RFC,-2.620
2/1/2024 12:00:00 PM,2/1/2024 7:00:00 AM,MIDATL,49.918
2/1/2024 12:00:00 PM,2/1/2024 7:00:00 AM,OTHER,1.105
2/1/2024 12:00:00 PM,2/1/2024 7:00:00 AM,SOUTH,236.623
2/1/2024 12:00:00 PM,2/1/2024 7:00:00 AM,WEST,11.253
2/1/2024 12:00:00 PM,2/1/2024 7:00:00 AM,RTO,297.794
2/1/2024 12:00:00 PM,2/1/2024 7:00:00 AM,RFC,61.171
2/1/2024 1:00:00 PM,2/1/2024 8:00:00 AM,MIDATL,277.221
2/1/2024 1:00:00 PM,2/1/2024 8:00:00 AM,OTHER,70.946
2/1/2024 1:00:00 PM,2/1/2024 8:00:00 AM,SOUTH,1489.017
2/1/2024 1:00:00 PM,2/1/2024 8:00:00 AM,WEST,436.919
2/1/2024 1:00:00 PM,2/1/2024 8:00:00 AM,RTO,2203.157
2/1/2024 1:00:00 PM,2/1/2024 8:00:00 AM,RFC,714.140
2/1/2024 2:00:00 PM,2/1/2024 9:00:00 AM,MIDATL,526.310
2/1/2024 2:00:00 PM,2/1/2024 9:00:00 AM,OTHER,225.042
2/1/2024 2:00:00 PM,2/1/2024 9:00:00 AM,SOUTH,2645.271
2/1/2024 2:00:00 PM,2/1/2024 9:00:00 AM,WEST,1254.550
2/1/2024 2:00:00 PM,2/1/2024 9:00:00 AM,RTO,4426.131
2/1/2024 2:00:00 PM,2/1/2024 9:00:00 AM,RFC,1780.860
2/1/2024 3:00:00 PM,2/1/2024 10:00:00 AM,MIDATL,602.218
2/1/2024 3:00:00 PM,2/1/2024 10:00:00 AM,OTHER,262.313
2/1/2024 3:00:00 PM,2/1/2024 10:00:00 AM,SOUTH,2742.371
2/1/2024 3:00:00 PM,2/1/2024 10:00:00 AM,WEST,1499.728
2/1/2024 3:00:00 PM,2/1/2024 10:00:00 AM,RTO,4844.317
2/1/2024 3:00:00 PM,2/1/2024 10:00:00 AM,RFC,2101.946
2/1/2024 4:00:00 PM,2/1/2024 11:00:00 AM,MIDATL,665.041
2/1/2024 4:00:00 PM,2/1/2024 11:00:00 AM,OTHER,233.259
2/1/2024 4:00:00 PM,2/1/2024 11:00:00 AM,SOUTH,2612.262
2/1/2024 4:00:00 PM,2/1/2024 11:00:00 AM,WEST,1414.855
2/1/2024 4:00:00 PM,2/1/2024 11:00:00 AM,RTO,4692.158
2/1/2024 4:00:00 PM,2/1/2024 11:00:00 AM,RFC,2079.896
2/1/2024 5:00:00 PM,2/1/2024 12:00:00 PM,MIDATL,687.988
2/1/2024 5:00:00 PM,2/1/2024 12:00:00 PM,OTHER,226.718
2/1/2024 5:00:00 PM,2/1/2024 12:00:00 PM,SOUTH,2582.143
2/1/2024 5:00:00 PM,2/1/2024 12:00:00 PM,WEST,1359.623
2/1/2024 5:00:00 PM,2/1/2024 12:00:00 PM,RTO,4629.754
2/1/2024 5:00:00 PM,2/1/2024 12:00:00 PM,RFC,2047.611
2/1/2024 6:00:00 PM,2/1/2024 1:00:00 PM,MIDATL,570.451
2/1/2024 6:00:00 PM,2/1/2024 1:00:00 PM,OTHER,223.621
2/1/2024 6:00:00 PM,2/1/2024 1:00:00 PM,SOUTH,2629.489
2/1/2024 6:00:00 PM,2/1/2024 1:00:00 PM,WEST,1367.390
2/1/2024 6:00:00 PM,2/1/2024 1:00:00 PM,RTO,4567.330
2/1/2024 6:00:00 PM,2/1/2024 1:00:00 PM,RFC,1937.841
2/1/2024 7:00:00 PM,2/1/2024 2:00:00 PM,MIDATL,505.205
2/1/2024 7:00:00 PM,2/1/2024 2:00:00 PM,OTHER,186.698
2/1/2024 7:00:00 PM,2/1/2024 2:00:00 PM,SOUTH,2701.898
2/1/2024 7:00:00 PM,2/1/2024 2:00:00 PM,WEST,1233.153
2/1/2024 7:00:00 PM,2/1/2024 2:00:00 PM,RTO,4440.256
2/1/2024 7:00:00 PM,2/1/2024 2:00:00 PM,RFC,1738.358
2/1/2024 8:00:00 PM,2/1/2024 3:00:00 PM,MIDATL,372.553
2/1/2024 8:00:00 PM,2/1/2024 3:00:00 PM,OTHER,157.212
2/1/2024 8:00:00 PM,2/1/2024 3:00:00 PM,SOUTH,2367.253
2/1/2024 8:00:00 PM,2/1/2024 3:00:00 PM,WEST,1079.795
2/1/2024 8:00:00 PM,2/1/2024 3:00:00 PM,RTO,3819.601
2/1/2024 8:00:00 PM,2/1/2024 3:00:00 PM,RFC,1452.348
2/1/2024 9:00:00 PM,2/1/2024 4:00:00 PM,MIDATL,125.430
2/1/2024 9:00:00 PM,2/1/2024 4:00:00 PM,OTHER,82.983
2/1/2024 9:00:00 PM,2/1/2024 4:00:00 PM,SOUTH,995.535
2/1/2024 9:00:00 PM,2/1/2024 4:00:00 PM,WEST,667.159
2/1/2024 9:00:00 PM,2/1/2024 4:00:00 PM,RTO,1788.124
2/1/2024 9:00:00 PM,2/1/2024 4:00:00 PM,RFC,792.589
2/1/2024 10:00:00 PM,2/1/2024 5:00:00 PM,MIDATL,1.547
2/1/2024 10:00:00 PM,2/1/2024 5:00:00 PM,OTHER,10.790
2/1/2024 10:00:00 PM,2/1/2024 5:00:00 PM,SOUTH,51.524
2/1/2024 10:00:00 PM,2/1/2024 5:00:00 PM,WEST,74.254
2/1/2024 10:00:00 PM,2/1/2024 5:00:00 PM,RTO,127.325
2/1/2024 10:00:00 PM,2/1/2024 5:00:00 PM,RFC,75.801
2/1/2024 11:00:00 PM,2/1/2024 6:00:00 PM,MIDATL,-1.808
2/1/2024 11:00:00 PM,2/1/2024 6:00:00 PM,OTHER,0.000
2/1/2024 11:00:00 PM,2/1/2024 6:00:00 PM,SOUTH,-5.439
2/1/2024 11:00:00 PM,2/1/2024 6:00:00 PM,WEST,-1.504
2/1/2024 11:00:00 PM,2/1/2024 6:00:00 PM,RTO,-8.751
2/1/2024 11:00:00 PM,2/1/2024 6:00:00 PM,RFC,-3.312
2/2/2024 12:00:00 AM,2/1/2024 7:00:00 PM,MIDATL,-2.845
2/2/2024 12:00:00 AM,2/1/2024 7:00:00 PM,OTHER,0.000
2/2/2024 12:00:00 AM,2/1/2024 7:00:00 PM,SOUTH,-5.145
2/2/2024 12:00:00 AM,2/1/2024 7:00:00 PM,WEST,-2.509
2/2/2024 12:00:00 AM,2/1/2024 7:00:00 PM,RTO,-10.499
2/2/2024 12:00:00 AM,2/1/2024 7:00:00 PM,RFC,-5.354
2/2/2024 1:00:00 AM,2/1/2024 8:00:00 PM,MIDATL,-2.863
2/2/2024 1:00:00 AM,2/1/2024 8:00:00 PM,OTHER,0.000
2/2/2024 1:00:00 AM,2/1/2024 8:00:00 PM,SOUTH,-5.314
2/2/2024 1:00:00 AM,2/1/2024 8:00:00 PM,WEST,-2.528
2/2/2024 1:00:00 AM,2/1/2024 8:00:00 PM,RTO,-10.705
2/2/2024 1:00:00 AM,2/1/2024 8:00:00 PM,RFC,-5.391
2/2/2024 2:00:00 AM,2/1/2024 9:00:00 PM,MIDATL,-1.866
2/2/2024 2:00:00 AM,2/1/2024 9:00:00 PM,OTHER,0.000
2/2/2024 2:00:00 AM,2/1/2024 9:00:00 PM,SOUTH,-5.138
2/2/2024 2:00:00 AM,2/1/2024 9:00:00 PM,WEST,-1.528
2/2/2024 2:00:00 AM,2/1/2024 9:00:00 PM,RTO,-8.532
2/2/2024 2:00:00 AM,2/1/2024 9:00:00 PM,RFC,-3.394
2/2/2024 3:00:00 AM,2/1/2024 10:00:00 PM,MIDATL,-1.844
2/2/2024 3:00:00 AM,2/1/2024 10:00:00 PM,OTHER,0.000
2/2/2024 3:00:00 AM,2/1/2024 10:00:00 PM,SOUTH,-5.232
2/2/2024 3:00:00 AM,2/1/2024 10:00:00 PM,WEST,-1.547
2/2/2024 3:00:00 AM,2/1/2024 10:00:00 PM,RTO,-8.623
2/2/2024 3:00:00 AM,2/1/2024 10:00:00 PM,RFC,-3.391
2/2/2024 4:00:00 AM,2/1/2024 11:00:00 PM,MIDATL,-1.863
2/2/2024 4:00:00 AM,2/1/2024 11:00:00 PM,OTHER,0.000
2/2/2024 4:00:00 AM,2/1/2024 11:00:00 PM,SOUTH,-5.316
2/2/2024 4:00:00 AM,2/1/2024 11:00:00 PM,WEST,-2.532
2/2/2024 4:00:00 AM,2/1/2024 11:00:00 PM,RTO,-9.711
2/2/2024 4:00:00 AM,2/1/2024 11:00:00 PM,RFC,-4.395
2/2/2024 5:00:00 AM,2/2/2024 12:00:00 AM,MIDATL,-1.966
2/2/2024 5:00:00 AM,2/2/2024 12:00:00 AM,OTHER,0.000
2/2/2024 5:00:00 AM,2/2/2024 12:00:00 AM,SOUTH,-5.319
2/2/2024 5:00:00 AM,2/2/2024 12:00:00 AM,WEST,-2.568
2/2/2024 5:00:00 AM,2/2/2024 12:00:00 AM,RTO,-9.853
2/2/2024 5:00:00 AM,2/2/2024 12:00:00 AM,RFC,-4.534
2/2/2024 6:00:00 AM,2/2/2024 1:00:00 AM,MIDATL,-1.905
2/2/2024 6:00:00 AM,2/2/2024 1:00:00 AM,OTHER,0.000
2/2/2024 6:00:00 AM,2/2/2024 1:00:00 AM,SOUTH,-5.401
2/2/2024 6:00:00 AM,2/2/2024 1:00:00 AM,WEST,-1.582
2/2/2024 6:00:00 AM,2/2/2024 1:00:00 AM,RTO,-8.888
2/2/2024 6:00:00 AM,2/2/2024 1:00:00 AM,RFC,-3.487
2/2/2024 7:00:00 AM,2/2/2024 2:00:00 AM,MIDATL,-1.927
2/2/2024 7:00:00 AM,2/2/2024 2:00:00 AM,OTHER,0.000
2/2/2024 7:00:00 AM,2/2/2024 2:00:00 AM,SOUTH,-5.140
2/2/2024 7:00:00 AM,2/2/2024 2:00:00 AM,WEST,-2.590
2/2/2024 7:00:00 AM,2/2/2024 2:00:00 AM,RTO,-9.657
2/2/2024 7:00:00 AM,2/2/2024 2:00:00 AM,RFC,-4.517
2/2/2024 8:00:00 AM,2/2/2024 3:00:00 AM,MIDATL,-1.899
2/2/2024 8:00:00 AM,2/2/2024 3:00:00 AM,OTHER,0.000
2/2/2024 8:00:00 AM,2/2/2024 3:00:00 AM,SOUTH,-5.276
2/2/2024 8:00:00 AM,2/2/2024 3:00:00 AM,WEST,-1.575
2/2/2024 8:00:00 AM,2/2/2024 3:00:00 AM,RTO,-8.750
2/2/2024 8:00:00 AM,2/2/2024 3:00:00 AM,RFC,-3.474
2/2/2024 9:00:00 AM,2/2/2024 4:00:00 AM,MIDATL,-1.940
2/2/2024 9:00:00 AM,2/2/2024 4:00:00 AM,OTHER,0.000
2/2/2024 9:00:00 AM,2/2/2024 4:00:00 AM,SOUTH,-5.506
2/2/2024 9:00:00 AM,2/2/2024 4:00:00 AM,WEST,-2.568
2/2/2024 9:00:00 AM,2/2/2024 4:00:00 AM,RTO,-10.014
2/2/2024 9:00:00 AM,2/2/2024 4:00:00 AM,RFC,-4.508
2/2/2024 10:00:00 AM,2/2/2024 5:00:00 AM,MIDATL,-1.907
2/2/2024 10:00:00 AM,2/2/2024 5:00:00 AM,OTHER,0.000
2/2/2024 10:00:00 AM,2/2/2024 5:00:00 AM,SOUTH,-5.191
2/2/2024 10:00:00 AM,2/2/2024 5:00:00 AM,WEST,-2.559
2/2/2024 10:00:00 AM,2/2/2024 5:00:00 AM,RTO,-9.657
2/2/2024 10:00:00 AM,2/2/2024 5:00:00 AM,RFC,-4.466
2/2/2024 11:00:00 AM,2/2/2024 6:00:00 AM,MIDATL,-1.948
2/2/2024 11:00:00 AM,2/2/2024 6:00:00 AM,OTHER,0.000
2/2/2024 11:00:00 AM,2/2/2024 6:00:00 AM,SOUTH,-5.463
2/2/2024 11:00:00 AM,2/2/2024 6:00:00 AM,WEST,-1.533
2/2/2024 11:00:00 AM,2/2/2024 6:00:00 AM,RTO,-8.944
2/2/2024 11:00:00 AM,2/2/2024 6:00:00 AM,RFC,-3.481
2/2/2024 12:00:00 PM,2/2/2024 7:00:00 AM,MIDATL,1.008
2/2/2024 12:00:00 PM,2/2/2024 7:00:00 AM,OTHER,0.219
2/2/2024 12:00:00 PM,2/2/2024 7:00:00 AM,SOUTH,92.751
2/2/2024 12:00:00 PM,2/2/2024 7:00:00 AM,WEST,4.477
2/2/2024 12:00:00 PM,2/2/2024 7:00:00 AM,RTO,98.236
2/2/2024 12:00:00 PM,2/2/2024 7:00:00 AM,RFC,5.485
2/2/2024 1:00:00 PM,2/2/2024 8:00:00 AM,MIDATL,21.473
2/2/2024 1:00:00 PM,2/2/2024 8:00:00 AM,OTHER,43.591
2/2/2024 1:00:00 PM,2/2/2024 8:00:00 AM,SOUTH,901.216
2/2/2024 1:00:00 PM,2/2/2024 8:00:00 AM,WEST,165.543
2/2/2024 1:00:00 PM,2/2/2024 8:00:00 AM,RTO,1088.232
2/2/2024 1:00:00 PM,2/2/2024 8:00:00 AM,RFC,187.016
2/2/2024 2:00:00 PM,2/2/2024 9:00:00 AM,MIDATL,64.445
2/2/2024 2:00:00 PM,2/2/2024 9:00:00 AM,OTHER,158.569
2/2/2024 2:00:00 PM,2/2/2024 9:00:00 AM,SOUTH,1849.243
2/2/2024 2:00:00 PM,2/2/2024 9:00:00 AM,WEST,581.603
2/2/2024 2:00:00 PM,2/2/2024 9:00:00 AM,RTO,2495.291
2/2/2024 2:00:00 PM,2/2/2024 9:00:00 AM,RFC,646.048
2/2/2024 3:00:00 PM,2/2/2024 10:00:00 AM,MIDATL,120.663
2/2/2024 3:00:00 PM,2/2/2024 10:00:00 AM,OTHER,175.915
2/2/2024 3:00:00 PM,2/2/2024 10:00:00 AM,SOUTH,2184.033
2/2/2024 3:00:00 PM,2/2/2024 10:00:00 AM,WEST,715.257
2/2/2024 3:00:00 PM,2/2/2024 10:00:00 AM,RTO,3019.953
2/2/2024 3:00:00 PM,2/2/2024 10:00:00 AM,RFC,835.920
2/2/2024 4:00:00 PM,2/2/2024 11:00:00 AM,MIDATL,194.181
2/2/2024 4:00:00 PM,2/2/2024 11:00:00 AM,OTHER,151.990
2/2/2024 4:00:00 PM,2/2/2024 11:00:00 AM,SOUTH,2009.771
2/2/2024 4:00:00 PM,2/2/2024 11:00:00 AM,WEST,669.573
2/2/2024 4:00:00 PM,2/2/2024 11:00:00 AM,RTO,2873.525
2/2/2024 4:00:00 PM,2/2/2024 11:00:00 AM,RFC,863.754
2/2/2024 5:00:00 PM,2/2/2024 12:00:00 PM,MIDATL,203.151
2/2/2024 5:00:00 PM,2/2/2024 12:00:00 PM,OTHER,129.572
2/2/2024 5:00:00 PM,2/2/2024 12:00:00 PM,SOUTH,1776.729
2/2/2024 5:00:00 PM,2/2/2024 12:00:00 PM,WEST,791.179
2/2/2024 5:00:00 PM,2/2/2024 12:00:00 PM,RTO,2771.059
2/2/2024 5:00:00 PM,2/2/2024 12:00:00 PM,RFC,994.330
2/2/2024 6:00:00 PM,2/2/2024 1:00:00 PM,MIDATL,208.431
2/2/2024 6:00:00 PM,2/2/2024 1:00:00 PM,OTHER,173.825
2/2/2024 6:00:00 PM,2/2/2024 1:00:00 PM,SOUTH,1362.485
2/2/2024 6:00:00 PM,2/2/2024 1:00:00 PM,WEST,833.277
2/2/2024 6:00:00 PM,2/2/2024 1:00:00 PM,RTO,2404.193
2/2/2024 6:00:00 PM,2/2/2024 1:00:00 PM,RFC,1041.708
2/2/2024 7:00:00 PM,2/2/2024 2:00:00 PM,MIDATL,148.628
2/2/2024 7:00:00 PM,2/2/2024 2:00:00 PM,OTHER,189.462
2/2/2024 7:00:00 PM,2/2/2024 2:00:00 PM,SOUTH,996.210
2/2/2024 7:00:00 PM,2/2/2024 2:00:00 PM,WEST,818.738
2/2/2024 7:00:00 PM,2/2/2024 2:00:00 PM,RTO,1963.576
2/2/2024 7:00:00 PM,2/2/2024 2:00:00 PM,RFC,967.366
2/2/2024 8:00:00 PM,2/2/2024 3:00:00 PM,MIDATL,107.083
2/2/2024 8:00:00 PM,2/2/2024 3:00:00 PM,OTHER,227.382
2/2/2024 8:00:00 PM,2/2/2024 3:00:00 PM,SOUTH,725.569
2/2/2024 8:00:00 PM,2/2/2024 3:00:00 PM,WEST,930.639
2/2/2024 8:00:00 PM,2/2/2024 3:00:00 PM,RTO,1763.291
2/2/2024 8:00:00 PM,2/2/2024 3:00:00 PM,RFC,1037.722
2/2/2024 9:00:00 PM,2/2/2024 4:00:00 PM,MIDATL,45.564
2/2/2024 9:00:00 PM,2/2/2024 4:00:00 PM,OTHER,176.376
2/2/2024 9:00:00 PM,2/2/2024 4:00:00 PM,SOUTH,371.885
2/2/2024 9:00:00 PM,2/2/2024 4:00:00 PM,WEST,606.891
2/2/2024 9:00:00 PM,2/2/2024 4:00:00 PM,RTO,1024.340
2/2/2024 9:00:00 PM,2/2/2024 4:00:00 PM,RFC,652.455
2/2/2024 10:00:00 PM,2/2/2024 5:00:00 PM,MIDATL,-1.235
2/2/2024 10:00:00 PM,2/2/2024 5:00:00 PM,OTHER,37.846
2/2/2024 10:00:00 PM,2/2/2024 5:00:00 PM,SOUTH,21.222
