datetime_beginning_utc,datetime_beginning_ept,area,solar_generation_mw
2/6/2024 10:00:00 AM,2/6/2024 5:00:00 AM,MIDATL,0.000
2/6/2024 10:00:00 AM,2/6/2024 5:00:00 AM,OTHER,0.000
2/6/2024 10:00:00 AM,2/6/2024 5:00:00 AM,SOUTH,0.000
2/6/2024 10:00:00 AM,2/6/2024 5:00:00 AM,WEST,0.000
2/6/2024 10:00:00 AM,2/6/2024 5:00:00 AM,RTO,0.000
2/6/2024 10:00:00 AM,2/6/2024 5:00:00 AM,RFC,0.000
2/6/2024 11:00:00 AM,2/6/2024 6:00:00 AM,MIDATL,0.000
2/6/2024 11:00:00 AM,2/6/2024 6:00:00 AM,OTHER,0.000
2/6/2024 11:00:00 AM,2/6/2024 6:00:00 AM,SOUTH,0.000
2/6/2024 11:00:00 AM,2/6/2024 6:00:00 AM,WEST,0.000
2/6/2024 11:00:00 AM,2/6/2024 6:00:00 AM,RTO,0.000
2/6/2024 11:00:00 AM,2/6/2024 6:00:00 AM,RFC,0.000
2/6/2024 12:00:00 PM,2/6/2024 7:00:00 AM,MIDATL,0.000
2/6/2024 12:00:00 PM,2/6/2024 7:00:00 AM,OTHER,0.000
2/6/2024 12:00:00 PM,2/6/2024 7:00:00 AM,SOUTH,0.000
2/6/2024 12:00:00 PM,2/6/2024 7:00:00 AM,WEST,0.000
2/6/2024 12:00:00 PM,2/6/2024 7:00:00 AM,RTO,0.000
2/6/2024 12:00:00 PM,2/6/2024 7:00:00 AM,RFC,0.000
2/6/2024 1:00:00 PM,2/6/2024 8:00:00 AM,MIDATL,0.000
2/6/2024 1:00:00 PM,2/6/2024 8:00:00 AM,OTHER,0.000
2/6/2024 1:00:00 PM,2/6/2024 8:00:00 AM,SOUTH,0.000
2/6/2024 1:00:00 PM,2/6/2024 8:00:00 AM,WEST,0.000
2/6/2024 1:00:00 PM,2/6/2024 8:00:00 AM,RTO,0.000
2/6/2024 1:00:00 PM,2/6/2024 8:00:00 AM,RFC,0.000
2/6/2024 2:00:00 PM,2/6/2024 9:00:00 AM,MIDATL,0.000
2/6/2024 2:00:00 PM,2/6/2024 9:00:00 AM,OTHER,0.000
2/6/2024 2:00:00 PM,2/6/2024 9:00:00 AM,SOUTH,0.000
2/6/2024 2:00:00 PM,2/6/2024 9:00:00 AM,WEST,0.000
2/6/2024 2:00:00 PM,2/6/2024 9:00:00 AM,RTO,0.000
2/6/2024 2:00:00 PM,2/6/2024 9:00:00 AM,RFC,0.000
2/6/2024 3:00:00 PM,2/6/2024 10:00:00 AM,MIDATL,0.000
2/6/2024 3:00:00 PM,2/6/2024 10:00:00 AM,OTHER,0.000
2/6/2024 3:00:00 PM,2/6/2024 10:00:00 AM,SOUTH,0.000
2/6/2024 3:00:00 PM,2/6/2024 10:00:00 AM,WEST,0.000
2/6/2024 3:00:00 PM,2/6/2024 10:00:00 AM,RTO,0.000
2/6/2024 3:00:00 PM,2/6/2024 10:00:00 AM,RFC,0.000
2/6/2024 4:00:00 PM,2/6/2024 11:00:00 AM,MIDATL,0.000
2/6/2024 4:00:00 PM,2/6/2024 11:00:00 AM,OTHER,0.000
2/6/2024 4:00:00 PM,2/6/2024 11:00:00 AM,SOUTH,0.000
2/6/2024 4:00:00 PM,2/6/2024 11:00:00 AM,WEST,0.000
2/6/2024 4:00:00 PM,2/6/2024 11:00:00 AM,RTO,0.000
2/6/2024 4:00:00 PM,2/6/2024 11:00:00 AM,RFC,0.000
2/6/2024 5:00:00 PM,2/6/2024 12:00:00 PM,MIDATL,0.000
2/6/2024 5:00:00 PM,2/6/2024 12:00:00 PM,OTHER,0.000
2/6/2024 5:00:00 PM,2/6/2024 12:00:00 PM,SOUTH,0.000
2/6/2024 5:00:00 PM,2/6/2024 12:00:00 PM,WEST,0.000
2/6/2024 5:00:00 PM,2/6/2024 12:00:00 PM,RTO,0.000
2/6/2024 5:00:00 PM,2/6/2024 12:00:00 PM,RFC,0.000
2/6/2024 6:00:00 PM,2/6/2024 1:00:00 PM,MIDATL,0.000
2/6/2024 6:00:00 PM,2/6/2024 1:00:00 PM,OTHER,0.000
2/6/2024 6:00:00 PM,2/6/2024 1:00:00 PM,SOUTH,0.000
2/6/2024 6:00:00 PM,2/6/2024 1:00:00 PM,WEST,0.000
2/6/2024 6:00:00 PM,2/6/2024 1:00:00 PM,RTO,0.000
2/6/2024 6:00:00 PM,2/6/2024 1:00:00 PM,RFC,0.000
2/6/2024 7:00:00 PM,2/6/2024 2:00:00 PM,MIDATL,0.000
2/6/2024 7:00:00 PM,2/6/2024 2:00:00 PM,OTHER,0.000
2/6/2024 7:00:00 PM,2/6/2024 2:00:00 PM,SOUTH,0.000
2/6/2024 7:00:00 PM,2/6/2024 2:00:00 PM,WEST,0.000
2/6/2024 7:00:00 PM,2/6/2024 2:00:00 PM,RTO,0.000
2/6/2024 7:00:00 PM,2/6/2024 2:00:00 PM,RFC,0.000
2/6/2024 8:00:00 PM,2/6/2024 3:00:00 PM,MIDATL,0.000
2/6/2024 8:00:00 PM,2/6/2024 3:00:00 PM,OTHER,0.000
2/6/2024 8:00:00 PM,2/6/2024 3:00:00 PM,SOUTH,0.000
2/6/2024 8:00:00 PM,2/6/2024 3:00:00 PM,WEST,0.000
2/6/2024 8:00:00 PM,2/6/2024 3:00:00 PM,RTO,0.000
2/6/2024 8:00:00 PM,2/6/2024 3:00:00 PM,RFC,0.000
2/6/2024 9:00:00 PM,2/6/2024 4:00:00 PM,MIDATL,0.000
2/6/2024 9:00:00 PM,2/6/2024 4:00:00 PM,OTHER,0.000
2/6/2024 9:00:00 PM,2/6/2024 4:00:00 PM,SOUTH,0.000
2/6/2024 9:00:00 PM,2/6/2024 4:00:00 PM,WEST,0.000
2/6/2024 9:00:00 PM,2/6/2024 4:00:00 PM,RTO,0.000
2/6/2024 9:00:00 PM,2/6/2024 4:00:00 PM,RFC,0.000
2/6/2024 10:00:00 PM,2/6/2024 5:00:00 PM,MIDATL,0.000
2/6/2024 10:00:00 PM,2/6/2024 5:00:00 PM,OTHER,0.000
2/6/2024 10:00:00 PM,2/6/2024 5:00:00 PM,SOUTH,0.000
2/6/2024 10:00:00 PM,2/6/2024 5:00:00 PM,WEST,0.000
2/6/2024 10:00:00 PM,2/6/2024 5:00:00 PM,RTO,0.000
2/6/2024 10:00:00 PM,2/6/2024 5:00:00 PM,RFC,0.000
2/6/2024 11:00:00 PM,2/6/2024 6:00:00 PM,MIDATL,0.000
2/6/2024 11:00:00 PM,2/6/2024 6:00:00 PM,OTHER,0.000
2/6/2024 11:00:00 PM,2/6/2024 6:00:00 PM,SOUTH,0.000
2/6/2024 11:00:00 PM,2/6/2024 6:00:00 PM,WEST,0.000
2/6/2024 11:00:00 PM,2/6/2024 6:00:00 PM,RTO,0.000
2/6/2024 11:00:00 PM,2/6/2024 6:00:00 PM,RFC,0.000
2/7/2024 12:00:00 AM,2/6/2024 7:00:00 PM,MIDATL,0.000
2/7/2024 12:00:00 AM,2/6/2024 7:00:00 PM,OTHER,0.000
2/7/2024 12:00:00 AM,2/6/2024 7:00:00 PM,SOUTH,0.000
2/7/2024 12:00:00 AM,2/6/2024 7:00:00 PM,WEST,0.000
2/7/2024 12:00:00 AM,2/6/2024 7:00:00 PM,RTO,0.000
2/7/2024 12:00:00 AM,2/6/2024 7:00:00 PM,RFC,0.000
2/7/2024 1:00:00 AM,2/6/2024 8:00:00 PM,MIDATL,0.000
2/7/2024 1:00:00 AM,2/6/2024 8:00:00 PM,OTHER,0.000
2/7/2024 1:00:00 AM,2/6/2024 8:00:00 PM,SOUTH,0.000
2/7/2024 1:00:00 AM,2/6/2024 8:00:00 PM,WEST,0.000
2/7/2024 1:00:00 AM,2/6/2024 8:00:00 PM,RTO,0.000
2/7/2024 1:00:00 AM,2/6/2024 8:00:00 PM,RFC,0.000
2/7/2024 2:00:00 AM,2/6/2024 9:00:00 PM,MIDATL,0.000
2/7/2024 2:00:00 AM,2/6/2024 9:00:00 PM,OTHER,0.000
2/7/2024 2:00:00 AM,2/6/2024 9:00:00 PM,SOUTH,0.000
2/7/2024 2:00:00 AM,2/6/2024 9:00:00 PM,WEST,0.000
2/7/2024 2:00:00 AM,2/6/2024 9:00:00 PM,RTO,0.000
2/7/2024 2:00:00 AM,2/6/2024 9:00:00 PM,RFC,0.000
2/7/2024 3:00:00 AM,2/6/2024 10:00:00 PM,MIDATL,0.000
2/7/2024 3:00:00 AM,2/6/2024 10:00:00 PM,OTHER,0.000
2/7/2024 3:00:00 AM,2/6/2024 10:00:00 PM,SOUTH,0.000
2/7/2024 3:00:00 AM,2/6/2024 10:00:00 PM,WEST,0.000
2/7/2024 3:00:00 AM,2/6/2024 10:00:00 PM,RTO,0.000
2/7/2024 3:00:00 AM,2/6/2024 10:00:00 PM,RFC,0.000
2/7/2024 4:00:00 AM,2/6/2024 11:00:00 PM,MIDATL,0.000
2/7/2024 4:00:00 AM,2/6/2024 11:00:00 PM,OTHER,0.000
2/7/2024 4:00:00 AM,2/6/2024 11:00:00 PM,SOUTH,0.000
2/7/2024 4:00:00 AM,2/6/2024 11:00:00 PM,WEST,0.000
2/7/2024 4:00:00 AM,2/6/2024 11:00:00 PM,RTO,0.000
2/7/2024 4:00:00 AM,2/6/2024 11:00:00 PM,RFC,0.000
2/7/2024 5:00:00 AM,2/7/2024 12:00:00 AM,MIDATL,0.000
2/7/2024 5:00:00 AM,2/7/2024 12:00:00 AM,OTHER,0.000
2/7/2024 5:00:00 AM,2/7/2024 12:00:00 AM,SOUTH,0.000
2/7/2024 5:00:00 AM,2/7/2024 12:00:00 AM,WEST,0.000
2/7/2024 5:00:00 AM,2/7/2024 12:00:00 AM,RTO,0.000
2/7/2024 5:00:00 AM,2/7/2024 12:00:00 AM,RFC,0.000
2/7/2024 6:00:00 AM,2/7/2024 1:00:00 AM,MIDATL,0.000
2/7/2024 6:00:00 AM,2/7/2024 1:00:00 AM,OTHER,0.000
2/7/2024 6:00:00 AM,2/7/2024 1:00:00 AM,SOUTH,0.000
2/7/2024 6:00:00 AM,2/7/2024 1:00:00 AM,WEST,0.000
2/7/2024 6:00:00 AM,2/7/2024 1:00:00 AM,RTO,0.000
2/7/2024 6:00:00 AM,2/7/2024 1:00:00 AM,RFC,0.000
2/7/2024 7:00:00 AM,2/7/2024 2:00:00 AM,MIDATL,0.000
2/7/2024 7:00:00 AM,2/7/2024 2:00:00 AM,OTHER,0.000
2/7/2024 7:00:00 AM,2/7/2024 2:00:00 AM,SOUTH,0.000
2/7/2024 7:00:00 AM,2/7/2024 2:00:00 AM,WEST,0.000
2/7/2024 7:00:00 AM,2/7/2024 2:00:00 AM,RTO,0.000
2/7/2024 7:00:00 AM,2/7/2024 2:00:00 AM,RFC,0.000
2/7/2024 8:00:00 AM,2/7/2024 3:00:00 AM,MIDATL,0.000
2/7/2024 8:00:00 AM,2/7/2024 3:00:00 AM,OTHER,0.000
2/7/2024 8:00:00 AM,2/7/2024 3:00:00 AM,SOUTH,0.000
2/7/2024 8:00:00 AM,2/7/2024 3:00:00 AM,WEST,0.000
2/7/2024 8:00:00 AM,2/7/2024 3:00:00 AM,RTO,0.000
2/7/2024 8:00:00 AM,2/7/2024 3:00:00 AM,RFC,0.000
2/7/2024 9:00:00 AM,2/7/2024 4:00:00 AM,MIDATL,0.000
2/7/2024 9:00:00 AM,2/7/2024 4:00:00 AM,OTHER,0.000
2/7/2024 9:00:00 AM,2/7/2024 4:00:00 AM,SOUTH,0.000
2/7/2024 9:00:00 AM,2/7/2024 4:00:00 AM,WEST,0.000
2/7/2024 9:00:00 AM,2/7/2024 4:00:00 AM,RTO,0.000
2/7/2024 9:00:00 AM,2/7/2024 4:00:00 AM,RFC,0.000
2/7/2024 10:00:00 AM,2/7/2024 5:00:00 AM,MIDATL,0.000
2/7/2024 10:00:00 AM,2/7/2024 5:00:00 AM,OTHER,0.000
2/7/2024 10:00:00 AM,2/7/2024 5:00:00 AM,SOUTH,0.000
2/7/2024 10:00:00 AM,2/7/2024 5:00:00 AM,WEST,0.000
2/7/2024 10:00:00 AM,2/7/2024 5:00:00 AM,RTO,0.000
2/7/2024 10:00:00 AM,2/7/2024 5:00:00 AM,RFC,0.000
2/7/2024 11:00:00 AM,2/7/2024 6:00:00 AM,MIDATL,0.000
2/7/2024 11:00:00 AM,2/7/2024 6:00:00 AM,OTHER,0.000
2/7/2024 11:00:00 AM,2/7/2024 6:00:00 AM,RFC,0.000
2/7/2024 11:00:00 AM,2/7/2024 6:00:00 AM,RTO,0.000
2/7/2024 11:00:00 AM,2/7/2024 6:00:00 AM,SOUTH,0.000
2/7/2024 11:00:00 AM,2/7/2024 6:00:00 AM,WEST,0.000
2/7/2024 12:00:00 PM,2/7/2024 7:00:00 AM,MIDATL,0.000
2/7/2024 12:00:00 PM,2/7/2024 7:00:00 AM,OTHER,0.000
2/7/2024 12:00:00 PM,2/7/2024 7:00:00 AM,RFC,0.000
2/7/2024 12:00:00 PM,2/7/2024 7:00:00 AM,RTO,0.000
2/7/2024 12:00:00 PM,2/7/2024 7:00:00 AM,SOUTH,0.000
2/7/2024 12:00:00 PM,2/7/2024 7:00:00 AM,WEST,0.000
2/7/2024 1:00:00 PM,2/7/2024 8:00:00 AM,MIDATL,0.000
2/7/2024 1:00:00 PM,2/7/2024 8:00:00 AM,OTHER,0.000
2/7/2024 1:00:00 PM,2/7/2024 8:00:00 AM,RFC,0.000
2/7/2024 1:00:00 PM,2/7/2024 8:00:00 AM,RTO,0.000
2/7/2024 1:00:00 PM,2/7/2024 8:00:00 AM,SOUTH,0.000
2/7/2024 1:00:00 PM,2/7/2024 8:00:00 AM,WEST,0.000
2/7/2024 2:00:00 PM,2/7/2024 9:00:00 AM,MIDATL,0.000
2/7/2024 2:00:00 PM,2/7/2024 9:00:00 AM,OTHER,0.000
2/7/2024 2:00:00 PM,2/7/2024 9:00:00 AM,RFC,0.000
2/7/2024 2:00:00 PM,2/7/2024 9:00:00 AM,RTO,0.000
2/7/2024 2:00:00 PM,2/7/2024 9:00:00 AM,SOUTH,0.000
2/7/2024 2:00:00 PM,2/7/2024 9:00:00 AM,WEST,0.000
2/7/2024 3:00:00 PM,2/7/2024 10:00:00 AM,MIDATL,0.000
2/7/2024 3:00:00 PM,2/7/2024 10:00:00 AM,OTHER,0.000
2/7/2024 3:00:00 PM,2/7/2024 10:00:00 AM,RFC,0.000
2/7/2024 3:00:00 PM,2/7/2024 10:00:00 AM,RTO,0.000
2/7/2024 3:00:00 PM,2/7/2024 10:00:00 AM,SOUTH,0.000
2/7/2024 3:00:00 PM,2/7/2024 10:00:00 AM,WEST,0.000
2/7/2024 4:00:00 PM,2/7/2024 11:00:00 AM,MIDATL,0.000
2/7/2024 4:00:00 PM,2/7/2024 11:00:00 AM,OTHER,0.000
2/7/2024 4:00:00 PM,2/7/2024 11:00:00 AM,RFC,0.000
2/7/2024 4:00:00 PM,2/7/2024 11:00:00 AM,RTO,0.000
2/7/2024 4:00:00 PM,2/7/2024 11:00:00 AM,SOUTH,0.000
2/7/2024 4:00:00 PM,2/7/2024 11:00:00 AM,WEST,0.000
2/7/2024 5:00:00 PM,2/7/2024 12:00:00 PM,MIDATL,0.000
2/7/2024 5:00:00 PM,2/7/2024 12:00:00 PM,OTHER,0.000
2/7/2024 5:00:00 PM,2/7/2024 12:00:00 PM,RFC,0.000
2/7/2024 5:00:00 PM,2/7/2024 12:00:00 PM,RTO,0.000
2/7/2024 5:00:00 PM,2/7/2024 12:00:00 PM,SOUTH,0.000
2/7/2024 5:00:00 PM,2/7/2024 12:00:00 PM,WEST,0.000
2/7/2024 6:00:00 PM,2/7/2024 1:00:00 PM,MIDATL,0.000
2/7/2024 6:00:00 PM,2/7/2024 1:00:00 PM,OTHER,0.000
2/7/2024 6:00:00 PM,2/7/2024 1:00:00 PM,RFC,0.000
2/7/2024 6:00:00 PM,2/7/2024 1:00:00 PM,RTO,0.000
2/7/2024 6:00:00 PM,2/7/2024 1:00:00 PM,SOUTH,0.000
2/7/2024 6:00:00 PM,2/7/2024 1:00:00 PM,WEST,0.000
2/7/2024 7:00:00 PM,2/7/2024 2:00:00 PM,MIDATL,0.000
2/7/2024 7:00:00 PM,2/7/2024 2:00:00 PM,OTHER,0.000
2/7/2024 7:00:00 PM,2/7/2024 2:00:00 PM,RFC,0.000
2/7/2024 7:00:00 PM,2/7/2024 2:00:00 PM,RTO,0.000
2/7/2024 7:00:00 PM,2/7/2024 2:00:00 PM,SOUTH,0.000
2/7/2024 7:00:00 PM,2/7/2024 2:00:00 PM,WEST,0.000
2/7/2024 8:00:00 PM,2/7/2024 3:00:00 PM,MIDATL,0.000
2/7/2024 8:00:00 PM,2/7/2024 3:00:00 PM,OTHER,0.000
2/7/2024 8:00:00 PM,2/7/2024 3:00:00 PM,RFC,0.000
2/7/2024 8:00:00 PM,2/7/2024 3:00:00 PM,RTO,0.000
2/7/2024 8:00:00 PM,2/7/2024 3:00:00 PM,SOUTH,0.000
2/7/2024 8:00:00 PM,2/7/2024 3:00:00 PM,WEST,0.000
2/7/2024 9:00:00 PM,2/7/2024 4:00:00 PM,MIDATL,0.000
2/7/2024 9:00:00 PM,2/7/2024 4:00:00 PM,OTHER,0.000
2/7/2024 9:00:00 PM,2/7/2024 4:00:00 PM,RFC,0.000
2/7/2024 9:00:00 PM,2/7/2024 4:00:00 PM,RTO,0.000
2/7/2024 9:00:00 PM,2/7/2024 4:00:00 PM,SOUTH,0.000
2/7/2024 9:00:00 PM,2/7/2024 4:00:00 PM,WEST,0.000
2/7/2024 10:00:00 PM,2/7/2024 5:00:00 PM,MIDATL,0.000
2/7/2024 10:00:00 PM,2/7/2024 5:00:00 PM,OTHER,0.000
2/7/2024 10:00:00 PM,2/7/2024 5:00:00 PM,RFC,0.000
2/7/2024 10:00:00 PM,2/7/2024 5:00:00 PM,RTO,0.000
2/7/2024 10:00:00 PM,2/7/2024 5:00:00 PM,SOUTH,0.000
2/7/2024 10:00:00 PM,2/7/2024 5:00:00 PM,WEST,0.000
2/7/2024 11:00:00 PM,2/7/2024 6:00:00 PM,MIDATL,0.000
2/7/2024 11:00:00 PM,2/7/2024 6:00:00 PM,OTHER,0.000
2/7/2024 11:00:00 PM,2/7/2024 6:00:00 PM,RFC,0.000
2/7/2024 11:00:00 PM,2/7/2024 6:00:00 PM,RTO,0.000
2/7/2024 11:00:00 PM,2/7/2024 6:00:00 PM,SOUTH,0.000
2/7/2024 11:00:00 PM,2/7/2024 6:00:00 PM,WEST,0.000
2/8/2024 12:00:00 AM,2/7/2024 7:00:00 PM,MIDATL,0.000
2/8/2024 12:00:00 AM,2/7/2024 7:00:00 PM,OTHER,0.000
2/8/2024 12:00:00 AM,2/7/2024 7:00:00 PM,RFC,0.000
2/8/2024 12:00:00 AM,2/7/2024 7:00:00 PM,RTO,0.000
2/8/2024 12:00:00 AM,2/7/2024 7:00:00 PM,SOUTH,0.000
2/8/2024 12:00:00 AM,2/7/2024 7:00:00 PM,WEST,0.000
2/8/2024 1:00:00 AM,2/7/2024 8:00:00 PM,MIDATL,0.000
2/8/2024 1:00:00 AM,2/7/2024 8:00:00 PM,OTHER,0.000
2/8/2024 1:00:00 AM,2/7/2024 8:00:00 PM,RFC,0.000
2/8/2024 1:00:00 AM,2/7/2024 8:00:00 PM,RTO,0.000
2/8/2024 1:00:00 AM,2/7/2024 8:00:00 PM,SOUTH,0.000
2/8/2024 1:00:00 AM,2/7/2024 8:00:00 PM,WEST,0.000
2/8/2024 2:00:00 AM,2/7/2024 9:00:00 PM,MIDATL,0.000
2/8/2024 2:00:00 AM,2/7/2024 9:00:00 PM,OTHER,0.000
2/8/2024 2:00:00 AM,2/7/2024 9:00:00 PM,RFC,0.000
2/8/2024 2:00:00 AM,2/7/2024 9:00:00 PM,RTO,0.000
2/8/2024 2:00:00 AM,2/7/2024 9:00:00 PM,SOUTH,0.000
2/8/2024 2:00:00 AM,2/7/2024 9:00:00 PM,WEST,0.000
2/8/2024 3:00:00 AM,2/7/2024 10:00:00 PM,MIDATL,0.000
2/8/2024 3:00:00 AM,2/7/2024 10:00:00 PM,OTHER,0.000
2/8/2024 3:00:00 AM,2/7/2024 10:00:00 PM,RFC,0.000
2/8/2024 3:00:00 AM,2/7/2024 10:00:00 PM,RTO,0.000
2/8/2024 3:00:00 AM,2/7/2024 10:00:00 PM,SOUTH,0.000
2/8/2024 3:00:00 AM,2/7/2024 10:00:00 PM,WEST,0.000
2/8/2024 4:00:00 AM,2/7/2024 11:00:00 PM,MIDATL,0.000
2/8/2024 4:00:00 AM,2/7/2024 11:00:00 PM,OTHER,0.000
2/8/2024 4:00:00 AM,2/7/2024 11:00:00 PM,RFC,0.000
2/8/2024 4:00:00 AM,2/7/2024 11:00:00 PM,RTO,0.000
2/8/2024 4:00:00 AM,2/7/2024 11:00:00 PM,SOUTH,0.000
2/8/2024 4:00:00 AM,2/7/2024 11:00:00 PM,WEST,0.000
